FLENSBURG,KIEL,4
KIEL,LUBECK,4
KIEL,HAMBURG,8
ROSTOCK,TORGELOW,19
ROSTOCK,SCHWERIN,6
CUXHAVEN,HAMBURG,11
BREMEN,CUXHAVEN,8
HAMBURG,LUBECK,6
LUBECK,SCHWERIN,6
BREMEN,WILHELMSHAVEN,11
OSNABRUCK,WILHELMSHAVEN,14
BREMEN,HAMBURG,11
HAMBURG,SCHWERIN,8
SCHWERIN,TORGELOW,19
BREMEN,HANNOVER,10
MAGDEBURG,SCHWERIN,16
BERLIN,TORGELOW,15
MUNSTER,OSNABRUCK,7
HANNOVER,OSNABRUCK,16
HANNOVER,MAGDEBURG,15
BERLIN,MAGDEBURG,10
BERLIN,FRANKFURT-D,6
DUSIBURG,ESSEN,0
DUSSELDORF,ESSEN,2
DORTMUND,ESSEN,4
DORTMUND,KASSEL,18
HALLE,MAGDEBURG,11
BERLIN,HALLE,17
FRANKFURT-D,LEIPZIG,21
DORTMUND,KOLN,10
AACHEN,DUSSELDORF,9
ERFURT,HALLE,6
HALLE,LEIPZIG,0
DRESDEN,ERFURT,19
AACHEN,TRIER,19
KOLN,WIESBADEN,21
FRANKFURT-M,WIESBADEN,0
DORTMUND,FRANKFURT-M,20
FRANKFURT-M,FULDA,8
FULDA,WURZBURG,11
FRANKFURT-M,WURZBURG,13
ERFURT,NURNBERG,21
SAARBRUCKEN,TRIER,11
MANNHEIM,WIESBADEN,11
NURNBERG,WURZBURG,8
MANNHEIM,SAARBRUCKEN,11
MANNHEIM,WURZBURG,10
SAARBRUCKEN,STUTTGART,17
MANNHEIM,STUTTGART,6
AUGSBURG,WURZBURG,19
NURNBERG,REGENSBURG,12
STUTTGART,WURZBURG,12
FREIBURG,STUTTGART,16
AUGSBURG,STUTTGART,15
KONSTANZ,STUTTGART,16
AUGSBURG,REGENSBURG,13
AUGSBURG,MUNCHEN,6
MUNCHEN,REGENSBURG,10
PASSAU,REGENSBURG,12
MUNCHEN,PASSAU,14
AACHEN,KOLN,7
DUSSELDORF,KOLN,4
FREIBURG,KONSTANZ,14
ESSEN,MUNSTER,6
HANNOVER,KASSEL,15
ERFURT,KASSEL,15
FULDA,KASSEL,8
FRANKFURT-M,KASSEL,13
KOLN,TRIER,20
KOLN,WIESBADEN,18
BERLIN,SCHWERIN,18
DORTMUND,MUNSTER,2
DRESDEN,LEIPZIG,13
DRESDEN,FRANKFURT-D,16
SAARBRUCKEN,WIESBADEN,10
AUGSBURG,KONSTANZ,17
